"Merchant","product_id","Product_name","product_crawler_url","last_price","current_price","price_drop"
"Overstock.com",264417287,"Madison Park 600 Thread Count Pima Cotton Sateen 4-piece Sheet Set Queen-Stone","http://www.overstock.com/search?keywords=15389857&SearchType=Header",7999,7317,6.8200
"Overstock.com",263738040,"Flat Weave Stripe Pattern Blue/ Green Wool Area Rug (8' x 10')","http://www.overstock.com/search?keywords=16379314&SearchType=Header",55799,47429,83.7000
"Walmart",261154415,"Nickelodeon Paw Patrol - Zuma's Hovercraft  Vechicle and Figure 7.5\" x 3.75\" x 8.5\"","http://www.walmart.com/search/search-ng.do?search_query=Nickelodeon+Paw+Patrol+-+Zuma%27s+Hovercraft%2C+Vechicle+and+Figure+7.5%22+x+3.75%22+x+8.5%22",2999,1478,15.2100
"J.Crew",259938801,"Single-button jacket in windowpane tweed 00 NAVY IVORY","https://www.jcrew.com/girls_category/shorts/novelty/PRD~F0792/F0792.jsp",16800,11999,48.0100
"J.Crew",258989023,"Factory slim Thompson suit pant in slub linen 30/32 INDIGO BLUE","https://www.jcrew.com/girls_category/shorts/novelty/PRD~B9667/B9667.jsp",12800,5999,68.0100
"J.Crew",258980854,"Petite ruffle popover shirt in ocean plaid PETITE 4 BLUE NAVY","https://www.jcrew.com/girls_category/shorts/novelty/PRD~F2970/F2970.jsp",7999,3999,40.0000
"J.Crew",258945721,"Linen pant in gingham 000 PINK IVORY","https://www.jcrew.com/girls_category/shorts/novelty/PRD~E8719/E8719.jsp",9999,6999,30.0000
"J.Crew",258929897,"Collection featherweight cashmere cardigan sweater X-LARGE BRILLIANT PURPLE","https://www.jcrew.com/girls_category/shorts/novelty/PRD~E7505/E7505.jsp",11999,9999,20.0000
"J.Crew",258931332,"Factory tall linen shirt TALL SIZE MEDIUM RUSTY BARN","https://www.jcrew.com/girls_category/shorts/novelty/PRD~E9292/E9292.jsp",6300,3700,26.0000
"J.Crew",258929894,"Collection featherweight cashmere cardigan sweater X-LARGE NEON PERSIMMON","https://www.jcrew.com/girls_category/shorts/novelty/PRD~E7505/E7505.jsp",11999,9999,20.0000
"J.Crew",258945719,"Cropped pant in textured herringbone 000 NAVY MULTI","https://www.jcrew.com/girls_category/shorts/novelty/PRD~E8786/E8786.jsp",14800,9999,48.0100
"J.Crew",258980768,"Factory homespun popover shirt in boy fit XX-SMALL BLUE ORANGE RED PLAID","https://www.jcrew.com/girls_category/shorts/novelty/PRD~C8263/C8263.jsp",3499,2499,10.0000
"J.Crew",258980766,"Factory drapey rolled-sleeve tank top XX-SMALL DUSTY PORT","https://www.jcrew.com/girls_category/shorts/novelty/PRD~C3052/C3052.jsp",1999,1299,7.0000
"J.Crew",258872900,"Ludlow blazer in Italian linen 36/S DUSTY DUNE","https://www.jcrew.com/girls_category/shorts/novelty/PRD~E8201/E8201.jsp",29800,23999,58.0100
"J.Crew",258876863,"Collection poplin pinafore dress 2 WHITE","https://www.jcrew.com/girls_category/shorts/novelty/PRD~F1119/F1119.jsp",15999,12999,30.0000
"J.Crew",258860869,"Ludlow blazer in Italian linen 38/S DUSTY DUNE","https://www.jcrew.com/girls_category/shorts/novelty/PRD~E8201/E8201.jsp",29800,23999,58.0100
"J.Crew",258908322,"Patio pant in RattiÂ® under the sea print 10 NAVY MULTI","https://www.jcrew.com/girls_category/shorts/novelty/PRD~F3708/F3708.jsp",11999,8999,30.0000
"J.Crew",258929895,"Collection featherweight cashmere cardigan sweater X-LARGE NEON CANTALOUPE","https://www.jcrew.com/girls_category/shorts/novelty/PRD~E7505/E7505.jsp",11999,9999,20.0000
"J.Crew",258896609,"Drapey wide-leg pant 000 ATLANTIC OCEAN","https://www.jcrew.com/girls_category/shorts/novelty/PRD~E8841/E8841.jsp",8999,6999,20.0000
"J.Crew",258887339,"Girls' striped handkerchief dress 14 PINK WASH","https://www.jcrew.com/girls_category/shorts/novelty/PRD~F0786/F0786.jsp",5650,4699,9.5100
